index,group,hl30_mean_z2,hl30_se_z2,hl30_n,hl30_mean_sigma,hl30_rms_return,hl60_mean_z2,hl60_se_z2,hl60_n,hl60_mean_sigma,hl60_rms_return,empirical_ewma_cov950,empirical_ewma_cov990,normal_mixture_2_cov950,normal_mixture_2_cov990
0,first_or_gap,0.92348456,0.07026087,1503,0.001375009,0.0012097824,0.80499432,0.069651076,1503,0.001334472,0.0012097824,0.97005988,0.99201597,0.96274118,0.9906853
1,<1,1.2129737,0.017943674,24061,0.001212362,0.0014373439,1.046097,0.017080846,24750,0.0012569347,0.0014167891,0.95141515,0.99069033,0.94177299,0.98578613
2,1-2,1.4393091,0.042225475,6392,0.0012091956,0.0016000697,1.4428376,0.04821098,5996,0.0012471686,0.0016287642,0.93742178,0.98607635,0.92803504,0.98091364
3,2-3,1.6079635,0.11791363,1645,0.0013852982,0.0020933462,1.9015766,0.13854033,1456,0.0013534759,0.0022512542,0.93920973,0.98480243,0.92644377,0.98054711
4,>=3,1.2731926,0.13870496,743,0.0015934573,0.0018947044,1.9012959,0.21791524,639,0.0014926082,0.0021607869,0.96096904,0.98923284,0.95289367,0.98654105
