index,group,hl30_mean_z2,hl30_se_z2,hl30_n,hl30_mean_sigma,hl30_rms_return,hl60_mean_z2,hl60_se_z2,hl60_n,hl60_mean_sigma,hl60_rms_return,empirical_ewma_cov950,empirical_ewma_cov990,normal_mixture_2_cov950,normal_mixture_2_cov990
0,Q1,1.6947306,0.047485957,6869,0.00050732494,0.00065126981,1.4430101,0.039825054,6869,0.00056898501,0.00067772387,0.92793711,0.9834037,0.91629058,0.97728927
1,Q2,1.3376174,0.035371146,6869,0.00073849591,0.000850616,1.1731882,0.031205554,6869,0.00078600014,0.00085075078,0.94395108,0.98908138,0.93463386,0.9834037
2,Q3,1.1765726,0.033290334,6868,0.00096881841,0.001044682,1.1073919,0.033131503,6868,0.0010070024,0.0010540818,0.95457193,0.99009901,0.94525335,0.98573093
3,Q4,1.1092519,0.030877026,6869,0.0013447589,0.0014241084,1.0703902,0.035616913,6869,0.0013747641,0.0014274792,0.95719901,0.99097394,0.94773621,0.98777115
4,Q5,0.9950724,0.028470947,6869,0.0026176555,0.0026664865,0.99096555,0.032312394,6869,0.0025987138,0.0026543222,0.96258553,0.99432232,0.95428738,0.99010045
