index,group,empirical_ewma_hl30_seasonal_cov950,normal_hl30_seasonal_cov950,student_t_hl30_seasonal_cov950,ged_hl30_seasonal_cov950,skewed_t_hl30_seasonal_cov950,skewed_ged_hl30_seasonal_cov950,nig_hl30_seasonal_cov950,gh_hl30_seasonal_cov950,normal_mixture_2_hl30_seasonal_cov950,normal_mixture_3_hl30_seasonal_cov950,empirical_ewma_hl60_seasonal_cov950,normal_hl60_seasonal_cov950,student_t_hl60_seasonal_cov950,ged_hl60_seasonal_cov950,skewed_t_hl60_seasonal_cov950,skewed_ged_hl60_seasonal_cov950,nig_hl60_seasonal_cov950,gh_hl60_seasonal_cov950,normal_mixture_2_hl60_seasonal_cov950,normal_mixture_3_hl60_seasonal_cov950,empirical_ewma_hl30_seasonal_cov990,normal_hl30_seasonal_cov990,student_t_hl30_seasonal_cov990,ged_hl30_seasonal_cov990,skewed_t_hl30_seasonal_cov990,skewed_ged_hl30_seasonal_cov990,nig_hl30_seasonal_cov990,gh_hl30_seasonal_cov990,normal_mixture_2_hl30_seasonal_cov990,normal_mixture_3_hl30_seasonal_cov990,empirical_ewma_hl60_seasonal_cov990,normal_hl60_seasonal_cov990,student_t_hl60_seasonal_cov990,ged_hl60_seasonal_cov990,skewed_t_hl60_seasonal_cov990,skewed_ged_hl60_seasonal_cov990,nig_hl60_seasonal_cov990,gh_hl60_seasonal_cov990,normal_mixture_2_hl60_seasonal_cov990,normal_mixture_3_hl60_seasonal_cov990
0,09:00,0.93767123,0.91780822,0.92054795,0.92808219,0.92260274,0.92808219,0.9260274,0.92465753,0.93150685,0.92642857,0.94041096,0.92876712,0.93013699,0.9369863,0.93082192,0.93835616,0.93561644,0.93493151,0.93493151,0.935,0.98493151,0.96232877,0.98013699,0.97876712,0.98082192,0.97808219,0.98082192,0.98150685,0.98150685,0.98142857,0.98493151,0.96917808,0.98219178,0.98082192,0.98219178,0.97945205,0.98219178,0.98150685,0.98287671,0.98428571
1,09:15,0.95227475,0.93041927,0.93309545,0.94157003,0.93264942,0.941124,0.93978591,0.93666369,0.93755575,0.93912639,0.95138269,0.93398751,0.93577163,0.9500446,0.93800178,0.94826048,0.94469224,0.941124,0.941124,0.94284387,0.98840321,0.97011597,0.98572703,0.98349688,0.98572703,0.98394291,0.98572703,0.98572703,0.98617306,0.98327138,0.98751115,0.97591436,0.98706512,0.98661909,0.98706512,0.98661909,0.98706512,0.98706512,0.98751115,0.98605948
2,09:30,0.94912985,0.93351183,0.93485051,0.94154395,0.93395805,0.94332887,0.94065149,0.93708166,0.93886658,0.93723849,0.95002231,0.93752789,0.93797412,0.94689871,0.93842035,0.94556002,0.94288264,0.94065149,0.94243641,0.94328219,0.98661312,0.9665328,0.98215083,0.98036591,0.9817046,0.97947345,0.98125837,0.9817046,0.98393574,0.981404,0.98705935,0.97233378,0.98215083,0.98125837,0.98304328,0.98125837,0.98304328,0.98259705,0.98572066,0.9818689
3,09:45,0.95535714,0.93258929,0.93392857,0.94598214,0.934375,0.94553571,0.94241071,0.9375,0.940625,0.93674419,0.95044643,0.93660714,0.93973214,0.95,0.93883929,0.94910714,0.94598214,0.94017857,0.94241071,0.9427907,0.98839286,0.97276786,0.98303571,0.98035714,0.98348214,0.98035714,0.98348214,0.98348214,0.98482143,0.9827907,0.98616071,0.97321429,0.98392857,0.98125,0.98482143,0.98169643,0.98482143,0.98482143,0.98571429,0.98372093
4,10:00,0.95361285,0.93487957,0.93755575,0.94603033,0.94023194,0.94603033,0.94290812,0.94201606,0.94424621,0.94330855,0.95227475,0.93889384,0.94246209,0.95093666,0.94157003,0.95138269,0.94915254,0.9455843,0.94692239,0.94423792,0.99063336,0.9750223,0.98661909,0.98394291,0.98572703,0.985281,0.98617306,0.98617306,0.98884924,0.98698885,0.98929527,0.97636039,0.98751115,0.985281,0.98751115,0.98617306,0.98751115,0.98795718,0.98929527,0.98884758
5,10:15,0.95811052,0.93894831,0.9416221,0.95008913,0.94117647,0.94919786,0.94741533,0.942959,0.94474153,0.94428969,0.95632799,0.94741533,0.94786096,0.95454545,0.94964349,0.95409982,0.95231729,0.95142602,0.95053476,0.95171773,0.99197861,0.97370766,0.98885918,0.98529412,0.98975045,0.98663102,0.98930481,0.98885918,0.98930481,0.98932219,0.99064171,0.97950089,0.98885918,0.98752228,0.98885918,0.98663102,0.98885918,0.98885918,0.98975045,0.98932219
6,10:30,0.95046854,0.9330656,0.93395805,0.94288264,0.93351183,0.9437751,0.94065149,0.93708166,0.93886658,0.93816829,0.95403838,0.94109772,0.94199018,0.95225346,0.94154395,0.951361,0.94912985,0.94600625,0.94734494,0.94607159,0.99062918,0.96742526,0.9848282,0.98304328,0.98572066,0.98348951,0.98572066,0.9848282,0.98661312,0.9855881,0.99152164,0.97456493,0.98884427,0.98750558,0.98839804,0.98661312,0.98839804,0.98839804,0.99062918,0.990702
7,10:45,0.95630852,0.94115025,0.94248774,0.94917521,0.94115025,0.95051271,0.94739189,0.94605439,0.94605439,0.94519275,0.95407936,0.94694605,0.94872938,0.9531877,0.94783772,0.95363353,0.9518502,0.94917521,0.94962104,0.9489085,0.99063754,0.97146679,0.98528756,0.98261257,0.98528756,0.98261257,0.98484173,0.98573339,0.98707089,0.98699489,0.99019171,0.97637093,0.98796255,0.98707089,0.98885421,0.98662506,0.98840838,0.98840838,0.98974588,0.9883883
8,11:00,0.96033868,0.93983957,0.942959,0.95098039,0.93983957,0.95053476,0.9483066,0.94518717,0.94741533,0.94800371,0.96167558,0.95231729,0.95409982,0.96345811,0.95409982,0.96301248,0.96033868,0.95721925,0.95721925,0.95821727,0.99064171,0.97727273,0.98841355,0.98707665,0.98885918,0.98796791,0.98885918,0.98885918,0.98930481,0.98932219,0.99108734,0.98172906,0.98975045,0.98796791,0.98930481,0.98752228,0.98930481,0.98975045,0.99064171,0.98978644
9,11:15,0.95535714,0.93616071,0.93660714,0.94732143,0.93839286,0.94776786,0.94598214,0.94330357,0.94642857,0.94604651,0.95848214,0.94642857,0.94910714,0.95535714,0.94776786,0.95625,0.95357143,0.95,0.95491071,0.95395349,0.98883929,0.97053571,0.98571429,0.98348214,0.98482143,0.98348214,0.984375,0.984375,0.98526786,0.9855814,0.98973214,0.97723214,0.98883929,0.98616071,0.98794643,0.98616071,0.9875,0.98794643,0.99017857,0.98837209
