index,group,hl30_mean_z2,hl30_se_z2,hl30_n,hl30_mean_sigma,hl30_rms_return,hl60_mean_z2,hl60_se_z2,hl60_n,hl60_mean_sigma,hl60_rms_return,empirical_ewma_cov950,empirical_ewma_cov990,normal_mixture_2_cov950,normal_mixture_2_cov990
0,09:00,0.57300267,0.053595019,2207,0.0016726837,0.0012034862,0.62321455,0.058978542,2207,0.0015212277,0.0012034862,0.98550068,0.99365655,0.98368826,0.99365655
1,09:15,0.56690229,0.030366703,2243,0.0015187313,0.0011875947,0.58391531,0.030238083,2243,0.0014564278,0.0011875947,0.98796255,0.99777084,0.98127508,0.99687918
2,09:30,0.58813118,0.030693813,2239,0.0013904197,0.001151899,0.56501029,0.030548234,2239,0.0013972991,0.001151899,0.98302814,0.99821349,0.98034837,0.99642698
3,09:45,0.58683899,0.032017256,2241,0.0012800518,0.0011063441,0.53216189,0.030187085,2241,0.0013390191,0.0011063441,0.98661312,0.99776885,0.98348951,0.99732262
4,10:00,0.79934072,0.058457088,2243,0.0011879538,0.0011519024,0.67168777,0.046317311,2243,0.0012843486,0.0011519024,0.97949175,0.99598752,0.97325011,0.99509585
5,10:15,0.77611739,0.03423395,2243,0.0011268656,0.0010973304,0.62753395,0.029860801,2243,0.0012413472,0.0010973304,0.97681676,0.99687918,0.97146679,0.99420419
6,10:30,0.98895928,0.069545533,2241,0.0010782648,0.0014844527,0.79727416,0.066160907,2241,0.0012018117,0.0014844527,0.96876394,0.99509148,0.9620705,0.99330656
7,10:45,1.103567,0.095251719,2244,0.0010657895,0.0012378102,0.85745419,0.06767895,2244,0.0011824015,0.0012378102,0.96434938,0.99554367,0.95632799,0.99376114
8,11:00,1.0047808,0.045714609,2244,0.0010424706,0.0011926256,0.79289017,0.039316316,2244,0.0011563215,0.0011926256,0.96746881,0.99509804,0.95766488,0.99331551
9,11:15,1.1003634,0.09715726,1492,0.0010231859,0.0012128728,0.84355937,0.068748172,1492,0.0011340108,0.0012128728,0.96648794,0.9919571,0.96112601,0.98927614
10,13:00,1.3387756,0.053127676,2241,0.0010214467,0.0012687821,1.0309857,0.041426324,2241,0.0011220502,0.0012687821,0.94779116,0.99107541,0.93663543,0.98572066
11,13:15,1.5769742,0.057056231,2242,0.001050192,0.0014605248,1.2775798,0.047425373,2242,0.0011229992,0.0014605248,0.92997324,0.98661909,0.91123996,0.9808207
12,13:30,1.9205268,0.081676579,2244,0.0011100267,0.0016900931,1.6945807,0.081298754,2244,0.0011462639,0.0016900931,0.90730838,0.98262032,0.89215686,0.96836007
13,13:45,2.3102372,0.084487436,2244,0.0012321551,0.0019924982,2.2018502,0.081447752,2244,0.0012117017,0.0019924982,0.88057041,0.97459893,0.86096257,0.96301248
14,14:00,2.8044405,0.11164508,2243,0.0014017978,0.0024155237,2.9514637,0.11544984,2243,0.001315252,0.0024155237,0.85332144,0.96477931,0.83727151,0.95006687
15,14:15,2.5140925,0.14597538,1493,0.0016340244,0.0025671857,2.9414537,0.17273146,1493,0.0014680482,0.0025671857,0.88881447,0.96985934,0.87006028,0.95981246
