lag,hl30_z,hl30_z2,hl30_z2_seasonally_adjusted,hl30_band95,hl60_z,hl60_z2,hl60_z2_seasonally_adjusted,hl60_band95
1,-0.0097718175,0.06467261,0.050530893,0.0046662434,-0.010405333,0.090409055,0.06749145,0.0046662434
2,0.020455155,0.060288896,0.046899725,0.0046863005,0.021633183,0.090752002,0.064815414,0.0046863005
3,0.0049744485,0.041384597,0.026553143,0.0047066184,0.0059513214,0.065020997,0.042280772,0.0047066184
4,0.011203383,0.04703869,0.026306306,0.0047272028,0.012123321,0.069898054,0.041597901,0.0047272028
5,0.010339475,0.042393596,0.015057471,0.0047480459,0.011103998,0.06576154,0.027169512,0.0047480459
6,-0.0030791319,0.042781528,0.016444679,0.004769167,-0.0033303428,0.065735181,0.031794463,0.004769167
7,-0.010176731,0.03184712,0.0075255389,0.0047905583,-0.0096735847,0.053472323,0.020130687,0.0047905583
8,-0.0088798645,0.034258898,0.010653043,0.0048122255,-0.0092927821,0.056071341,0.023674301,0.0048122255
9,-0.0099351439,0.035699339,0.0097686827,0.0048341746,-0.01151065,0.055285469,0.021847728,0.0048341746
10,0.00089272271,0.036638108,0.0068116924,0.0048564269,0.00043718844,0.057275007,0.018025272,0.0048564269
11,-0.007067472,0.028971975,0.0023041435,0.0048789894,-0.0072138872,0.046737252,0.012908391,0.0048789894
12,-0.009973942,0.035294031,0.0061983758,0.0049018539,-0.0086496489,0.053794726,0.016333969,0.0049018539
13,0.004308854,0.031727035,0.0073662797,0.0049250429,0.0049228416,0.049631361,0.01851792,0.0049250429
14,0.0030275227,0.039795455,0.011872191,0.0049485641,0.0027661699,0.057319424,0.022515292,0.0049485641
15,0.0035083534,0.038008333,0.013235889,0.0049724256,0.0031177871,0.05351278,0.024395939,0.0049724256
16,0.0062466191,0.034330423,0.0097287743,0.0049966357,0.0059366509,0.049619489,0.019847225,0.0049966357
17,0.0046252164,0.035847183,0.0083958509,0.0050212028,0.0059424788,0.052874049,0.020153388,0.0050212028
18,0.01028705,0.032404928,0.0062659255,0.0050461192,0.010895583,0.047994554,0.016049067,0.0050461192
19,0.011358556,0.033593084,0.0085119436,0.0050714102,0.0118907,0.046472886,0.017588499,0.0050714102
20,0.0086377829,0.036124942,0.016217461,0.0050970854,0.009030772,0.052017517,0.030087034,0.0050970854
21,0.0084406129,0.034980382,0.0055555453,0.0051231545,0.0088145531,0.047721327,0.014835123,0.0051231545
22,0.0064444246,0.031886525,0.0037768323,0.0051496277,0.0072338934,0.044826222,0.012271655,0.0051496277
23,0.005303801,0.031652274,0.0043749027,0.0051765156,0.0059054765,0.045042482,0.014441729,0.0051765156
24,0.010314081,0.032560842,0.0060304604,0.0052038292,0.010749373,0.044619785,0.015158525,0.0052038292
25,0.0060472873,0.031921043,0.0050126196,0.0052315797,0.0073788955,0.041816481,0.013420594,0.0052315797
26,0.0054298479,0.02626638,0.0033351218,0.0052597789,0.0060021111,0.03727861,0.011803127,0.0052597789
27,0.0080948539,0.033524572,0.0029822331,0.0052884391,0.0087478924,0.043838672,0.01042287,0.0052884391
28,0.0017259073,0.02518789,0.00049890053,0.0053175535,0.0019885213,0.035498864,0.0094010654,0.0053175535
29,0.0079490338,0.025076994,0.0047735901,0.005347154,0.0086668802,0.033423685,0.012429345,0.005347154
30,0.0098705305,0.03065903,0.0071088192,0.0053772544,0.0092880509,0.03769621,0.014095885,0.0053772544
