index,group,hl30_mean_z2,hl30_se_z2,hl30_n,hl30_mean_sigma,hl30_rms_return,hl60_mean_z2,hl60_se_z2,hl60_n,hl60_mean_sigma,hl60_rms_return,empirical_ewma_cov950,empirical_ewma_cov990,normal_mixture_3_cov950,normal_mixture_3_cov990
0,Q1,1.1778469,0.010926538,35588,0.00025781907,0.00028062204,1.1142968,0.011494648,35588,0.0002811238,0.00029763135,0.94352029,0.98850736,0.94101944,0.98822637
1,Q2,1.0724749,0.010270134,35588,0.00035232456,0.00036538299,1.0447424,0.014752898,35588,0.00036765072,0.00037657852,0.94998314,0.99033382,0.9474542,0.98996853
2,Q3,1.0366896,0.012431161,35587,0.00045069385,0.00046013499,1.0153234,0.015186819,35587,0.00046271287,0.00046767284,0.95186444,0.98999635,0.94933543,0.98960294
3,Q4,1.0129614,0.011878593,35588,0.00062245794,0.00063069129,1.0061111,0.017407463,35588,0.00063312322,0.0006390109,0.9518658,0.99008093,0.94944925,0.98994043
4,Q5,0.99909594,0.015269505,35588,0.0012032501,0.0012686812,0.99812705,0.022906448,35588,0.0011959496,0.0012545329,0.95225919,0.99072721,0.94984264,0.99064291
